id,address,city,first_name,last_name,phone
a3e2de8d-d227-4697-b1d2-7c280d1bc6ff,563 Friendly St.,Windsor,Harold,Davis,6085553198
2f4a61d7-ff6f-4395-8cfa-32f4ff7283bf,2749 Blackhawk Trail,Madison,David,Schroeder,6085559435
86885291-c536-4107-954f-324266e8afba,2335 Independence La.,Waunakee,Carlos,Estaban,6085555487
2c34bbc8-2072-4e83-927a-c1a47961cc5c,345 Maple St.,Madison,Maria,Escobito,6085557683
953ede57-2737-4ea2-a9a3-1f639297de0f,2693 Commerce St.,McFarland,Eduardo,Rodriguez,6085558763
9249313b-ddaa-4ed3-9e78-6dc01b7537bd,110 W. Liberty St.,Madison,George,Franklin,6085551023
c08b2942-21f9-4460-9b9e-a0fa4e59f74d,2387 S. Fair Way,Madison,Peter,McTavish,6085552765
cf5a98ef-f6c4-4cb3-b54d-8df9f45e3bad,105 N. Lake St.,Monona,Jean,Coleman,6085552654
5ef309fa-2953-4535-bba8-c02f34022a17,1450 Oak Blvd.,Monona,Jeff,Black,6085555387
969538f8-5aae-4dd6-8acc-6b7362d3e7d8,638 Cardinal Ave.,Sun Prairie,Betty,Davis,6085551749
